Topology,Number of Nodes,Algorithm,Latency (ms),Throughput (Mbps),Routing Overhead (packets),Network Utilization (%),Execution Time (s),Weights
star,140,Distance Vector,19.71530612244898,0.7996778276380997,278,22.24,0.5092747211456299,constant
star,140,Link State,19.71530612244898,0.7996778276380997,278,22.24,0.05070996284484863,constant
star,140,Path Vector,198.57142857142858,0.04027154527673883,38920,112.00000000000001,0.5096628665924072,constant
star,150,Distance Vector,19.734222222222222,0.7996779820210784,298,23.84,0.6209108829498291,constant
star,150,Link State,19.734222222222222,0.7996779820210784,298,23.84,0.06043410301208496,constant
star,150,Path Vector,198.66666666666669,0.040252247417168374,44700,120.0,0.6229701042175293,constant
star,160,Distance Vector,19.75078125,0.7996781169848576,318,25.44,0.7402420043945312,constant
star,160,Link State,19.75078125,0.7996781169848576,318,25.44,0.07344198226928711,constant
star,160,Path Vector,198.75,0.04023537695521296,50880,128.0,0.7520041465759277,constant
star,170,Distance Vector,19.765397923875433,0.7996782359764326,338,27.04,0.8981401920318604,constant
star,170,Link State,19.765397923875433,0.7996782359764326,338,27.04,0.08509588241577148,constant
star,170,Path Vector,198.8235294117647,0.0402205029928975,57460,136.0,0.9201641082763672,constant
star,180,Distance Vector,19.778395061728396,0.7996783416728243,358,28.64,1.0894677639007568,constant
star,180,Link State,19.778395061728396,0.7996783416728243,358,28.64,0.09777975082397461,constant
star,180,Path Vector,198.88888888888889,0.04020729092209731,64440,144.0,1.112313985824585,constant
star,190,Distance Vector,19.790027700831025,0.7996784361844449,378,30.24,1.2841908931732178,constant
star,190,Link State,19.790027700831025,0.7996784361844449,378,30.24,0.115631103515625,constant
star,190,Path Vector,198.94736842105263,0.04019547695106998,71820,152.0,1.3214571475982666,constant
star,200,Distance Vector,19.8005,0.799678521197436,398,31.84,1.6431238651275635,constant
star,200,Link State,19.8005,0.799678521197436,398,31.84,0.14589500427246094,constant
star,200,Path Vector,199.0,0.040184850311428946,79600,160.0,1.5031378269195557,constant
mesh,10,Distance Vector,9.0,0.7993605115907265,90,0.16,0.0007517337799072266,constant
mesh,10,Link State,9.0,0.7993605115907265,90,0.16,0.0003209114074707031,constant
mesh,10,Path Vector,100.0,0.07993605115907265,900,1.6,0.0013461112976074219,constant
mesh,20,Distance Vector,9.5,0.7993605115907332,380,0.16,0.010614871978759766,constant
mesh,20,Link State,9.5,0.7993605115907332,380,0.16,0.0014939308166503906,constant
mesh,20,Path Vector,100.0,0.07993605115907332,7600,1.6,0.011449813842773438,constant
mesh,30,Distance Vector,9.666666666666666,0.7993605115907383,870,0.16,0.051740169525146484,constant
mesh,30,Link State,9.666666666666666,0.7993605115907383,870,0.16,0.005172014236450195,constant
mesh,30,Path Vector,100.0,0.07993605115907383,26100,1.6,0.05185890197753906,constant
mesh,40,Distance Vector,9.75,0.7993605115907402,1560,0.16,0.15982794761657715,constant
mesh,40,Link State,9.75,0.7993605115907402,1560,0.16,0.013895750045776367,constant
mesh,40,Path Vector,100.0,0.07993605115907403,62400,1.6,0.16454505920410156,constant
mesh,50,Distance Vector,9.8,0.7993605115906929,2450,0.16,0.38213086128234863,constant
mesh,50,Link State,9.8,0.7993605115906929,2450,0.16,0.023602008819580078,constant
mesh,50,Path Vector,100.0,0.07993605115906928,122500,1.6,0.3828418254852295,constant
mesh,60,Distance Vector,9.833333333333334,0.7993605115906633,3540,0.16,0.7862813472747803,constant
mesh,60,Link State,9.833333333333334,0.7993605115906633,3540,0.16,0.039981842041015625,constant
mesh,60,Path Vector,100.0,0.07993605115906634,212400,1.6,0.785865306854248,constant
mesh,70,Distance Vector,9.857142857142858,0.7993605115906458,4830,0.16,1.4647798538208008,constant
mesh,70,Link State,9.857142857142858,0.7993605115906458,4830,0.16,0.0665597915649414,constant
mesh,70,Path Vector,100.0,0.07993605115906458,338100,1.6,1.4764909744262695,constant
mesh,80,Distance Vector,9.875,0.7993605115906343,6320,0.16,2.4936492443084717,constant
mesh,80,Link State,9.875,0.7993605115906343,6320,0.16,0.09630393981933594,constant
mesh,80,Path Vector,100.0,0.07993605115906342,505600,1.6,2.494962215423584,constant
mesh,90,Distance Vector,9.88888888888889,0.7993605115906265,8010,0.16,3.9626972675323486,constant
mesh,90,Link State,9.88888888888889,0.7993605115906265,8010,0.16,0.13310480117797852,constant
mesh,90,Path Vector,100.0,0.07993605115906266,720900,1.6,4.184762001037598,constant
mesh,100,Distance Vector,9.9,0.7993605115906209,9900,0.16,6.2450270652771,constant
mesh,100,Link State,9.9,0.7993605115906209,9900,0.16,0.18233585357666016,constant
mesh,100,Path Vector,100.0,0.07993605115906209,990000,1.6,6.048816204071045,constant
mesh,110,Distance Vector,9.909090909090908,0.7993605115906168,11990,0.16,8.870554208755493,constant
mesh,110,Link State,9.909090909090908,0.7993605115906168,11990,0.16,0.2418661117553711,constant
mesh,110,Path Vector,100.0,0.07993605115906169,1318900,1.6,8.83179783821106,constant
mesh,120,Distance Vector,9.916666666666666,0.7993605115906137,14280,0.16,12.739067792892456,constant
mesh,120,Link State,9.916666666666666,0.7993605115906137,14280,0.16,0.31789493560791016,constant
mesh,120,Path Vector,100.0,0.07993605115906137,1713600,1.6,12.52309775352478,constant
mesh,130,Distance Vector,9.923076923076923,0.7993605115906113,16770,0.16,17.293750762939453,constant
mesh,130,Link State,9.923076923076923,0.7993605115906113,16770,0.16,0.4025309085845947,constant
mesh,130,Path Vector,100.0,0.07993605115906113,2180100,1.6,17.12924599647522,constant
mesh,140,Distance Vector,9.928571428571429,0.7993605115906093,19460,0.16,23.381650924682617,constant
mesh,140,Link State,9.928571428571429,0.7993605115906093,19460,0.16,0.5011179447174072,constant
mesh,140,Path Vector,100.0,0.07993605115906093,2724400,1.6,23.26435875892639,constant
mesh,150,Distance Vector,9.933333333333334,0.7993605115906077,22350,0.16,30.693115949630737,constant
mesh,150,Link State,9.933333333333334,0.7993605115906077,22350,0.16,0.6111669540405273,constant
mesh,150,Path Vector,100.0,0.07993605115906077,3352500,1.6,30.491799116134644,constant
mesh,160,Distance Vector,9.9375,0.7993605115906065,25440,0.16,39.709208965301514,constant
mesh,160,Link State,9.9375,0.7993605115906065,25440,0.16,0.7357861995697021,constant
mesh,160,Path Vector,100.0,0.07993605115906065,4070400,1.6,39.75616002082825,constant
mesh,170,Distance Vector,9.941176470588236,0.7993605115908108,28730,0.16,50.34870386123657,constant
mesh,170,Link State,9.941176470588236,0.7993605115908108,28730,0.16,0.8875188827514648,constant
mesh,170,Path Vector,100.0,0.07993605115908108,4884100,1.6,52.1850790977478,constant
mesh,180,Distance Vector,9.944444444444445,0.7993605115910394,32220,0.16,65.16529726982117,constant
mesh,180,Link State,9.944444444444445,0.7993605115910394,32220,0.16,1.0763111114501953,constant
mesh,180,Path Vector,100.0,0.07993605115910395,5799600,1.6,64.31976413726807,constant
mesh,190,Distance Vector,9.947368421052632,0.7993605115912329,35910,0.16,79.76718091964722,constant
mesh,190,Link State,9.947368421052632,0.7993605115912329,35910,0.16,1.2678861618041992,constant
